News,Links,Times,Links images
80 лет назад Япония напала на Перл-Харбор. США вступили во Вторую мировую войну. Фотографии,https://meduza.io/feature/2021/12/07/80-let-nazad-yaponiya-napala-na-perl-harbor-ssha-vstupili-vo-vtoruyu-mirovuyu-voynu,2021-12-07 20:47:54,https://meduza.io/image/attachments/images/007/298/453/small/Z4Ncd2taqDVbEYzfUmK43A.jpg
Роскомнадзор пригрозил заблокировать Tor. Российские пользователи уже заявили о проблемах с доступом к браузеру,https://meduza.io/news/2021/12/07/roskomnadzor-prigrozil-zablokirovat-tor-rossiyskie-polzovateli-uzhe-zayavili-o-problemah-s-dostupom-k-brauzeru,2021-12-07 20:39:38,https://meduza.io/imgly/share/1638898781/news/2021/12/07/roskomnadzor-prigrozil-zablokirovat-tor-rossiyskie-polzovateli-uzhe-zayavili-o-problemah-s-dostupom-k-brauzeru
"Власти Беларуси запретили ввозить мясо, молоко, соль и другие товары из «недружественных стран»",https://meduza.io/news/2021/12/07/vlasti-belarusi-zapretili-vvozit-myaso-moloko-sol-i-drugie-tovary-iz-nedruzhestvennyh-stran,2021-12-07 19:24:37,https://meduza.io/imgly/share/1638894277/news/2021/12/07/vlasti-belarusi-zapretili-vvozit-myaso-moloko-sol-i-drugie-tovary-iz-nedruzhestvennyh-stran
Россиянам разрешили свободно выезжать из страны на поезде в Финляндию. Вот только смысла в этом немного — Финляндия не пускает туристов из России,https://meduza.io/news/2021/12/07/rossiyanam-razreshili-svobodno-vyezzhat-iz-strany-na-poezde-v-finlyandiyu-vot-tolko-smysla-v-etom-nemnogo-finlyandiya-ne-puskaet-turistov-iz-rossii,2021-12-07 18:58:27,https://meduza.io/imgly/share/1638892707/news/2021/12/07/rossiyanam-razreshili-svobodno-vyezzhat-iz-strany-na-poezde-v-finlyandiyu-vot-tolko-smysla-v-etom-nemnogo-finlyandiya-ne-puskaet-turistov-iz-rossii
Путин и Байден начали переговоры по видеосвязи,https://meduza.io/news/2021/12/07/putin-i-bayden-nachali-peregovory-po-videosvyazi,2021-12-07 18:09:57,https://meduza.io/imgly/share/1638889816/news/2021/12/07/putin-i-bayden-nachali-peregovory-po-videosvyazi
Каждый Новый год мы готовим для вас восьмичасовой праздничный плейлист. Но мы никогда не спрашивали о ваших любимых песнях! Расскажите нам о них,https://meduza.io/feature/2021/12/07/kazhdyy-novyy-god-my-gotovim-dlya-vas-vosmichasovoy-prazdnichnyy-pleylist,2021-12-07 17:55:14,https://meduza.io/image/attachments/images/007/298/704/small/fGVHqStZxCLP7j672lokog.jpg
🔴 Внимание! 🔴 Внимание! 🔴 Внимание! Ищете подарки на Новый год? Мы спешим к вам на помощь. Новые вещи в магазине «Медузы». Уже больше 50 (!!!) товаров,https://meduza.io/slides/vnimanie-vnimanie-vnimanie-ischete-podarki-na-novyy-god-my-speshim-k-vam-na-pomosch,2021-12-07 17:52:55,https://meduza.io/image/attachments/images/007/287/166/small/oDLtV0xO4vbdAfT1CVIwPQ.png
"В Москве посетитель МФЦ отказался надеть маску и открыл стрельбу. Погибли два человека. СМИ назвали стрелявшего военным пенсионером, который служил в СВР",https://meduza.io/feature/2021/12/07/v-moskve-posetitel-mfts-otkazalsya-nadet-masku-i-otkryl-strelbu-pogibli-dva-cheloveka,2021-12-07 17:46:34,https://meduza.io/image/attachments/images/007/299/343/small/1IdEnUmHhg3SZ-72uh9uZw.jpg
Глава СПЧ попросил Собянина «разобраться» с надписями на узбекском и таджикском языках в метро,https://meduza.io/news/2021/12/07/glava-spch-poprosil-sobyanina-razobratsya-s-nadpisyami-na-uzbekskom-i-tadzhikskom-yazykah-v-metro,2021-12-07 17:20:00,https://meduza.io/imgly/share/1638886800/news/2021/12/07/glava-spch-poprosil-sobyanina-razobratsya-s-nadpisyami-na-uzbekskom-i-tadzhikskom-yazykah-v-metro
"Акробаты из Бразилии не могут просто взять и покачаться на качелях. Не-е-ет, им нужно крутить сальто и впечатлять всех, кто на них смотрит!",https://meduza.io/shapito/2021/12/07/akrobaty-iz-brazilii-ne-mogut-prosto-vzyat-i-pokachatsya-na-kachelyah-ne-e-et-im-nuzhno-krutit-salto-i-vpechatlyat-vseh-kto-na-nih-smotrit,2021-12-07 17:06:50,https://meduza.io/image/attachments/images/007/298/229/small/P5yQtA7ty_o2C-fxfQoWEQ.jpg
